model,variant,seed,genre_id,precision,recall,f1,support,genre_name
sbert_lr,shuffled,42,27,0.587378640776699,0.7034883720930233,0.6402116402116402,172,Horror
sbert_lr,shuffled,42,28,0.5628140703517588,0.8145454545454546,0.6656760772659732,275,Action
sbert_lr,shuffled,42,35,0.5294924554183813,0.8832951945080092,0.6620926243567753,437,Comedy
sbert_lr,shuffled,42,36,0.4716981132075472,0.43103448275862066,0.45045045045045046,58,History
sbert_lr,shuffled,42,37,0.75,0.15789473684210525,0.2608695652173913,19,Western
sbert_lr,shuffled,42,53,0.5222929936305732,0.7522935779816514,0.6165413533834586,327,Thriller
sbert_lr,shuffled,42,80,0.5,0.6595744680851063,0.5688073394495413,188,Crime
sbert_lr,shuffled,42,878,0.6242424242424243,0.7006802721088435,0.6602564102564102,147,Science Fiction
sbert_lr,shuffled,42,9648,0.4368932038834951,0.391304347826087,0.41284403669724773,115,Mystery
sbert_lr,shuffled,42,10402,0.5862068965517241,0.4722222222222222,0.5230769230769231,36,Music
sbert_lr,shuffled,42,10749,0.5239852398523985,0.6859903381642513,0.5941422594142259,207,Romance
sbert_lr,shuffled,42,10751,0.5481927710843374,0.6642335766423357,0.6006600660066007,137,Family
sbert_lr,shuffled,42,10752,0.5909090909090909,0.6046511627906976,0.5977011494252874,43,War
sbert_lr,shuffled,42,10770,0.0,0.0,0.0,14,TV Movie
tfidf_lr,first_25,42,12,0.4697986577181208,0.3553299492385787,0.4046242774566474,197,Adventure
tfidf_lr,first_25,42,14,0.3963963963963964,0.3188405797101449,0.3534136546184739,138,Fantasy
tfidf_lr,first_25,42,16,0.46938775510204084,0.40707964601769914,0.43601895734597157,113,Animation
tfidf_lr,first_25,42,18,0.5789473684210527,0.7142857142857143,0.6395348837209303,539,Drama
tfidf_lr,first_25,42,27,0.48360655737704916,0.3430232558139535,0.4013605442176871,172,Horror
tfidf_lr,first_25,42,28,0.5818181818181818,0.46545454545454545,0.5171717171717172,275,Action
tfidf_lr,first_25,42,35,0.5192307692307693,0.5560640732265446,0.5370165745856353,437,Comedy
tfidf_lr,first_25,42,36,0.23255813953488372,0.3448275862068966,0.2777777777777778,58,History
tfidf_lr,first_25,42,37,0.375,0.3157894736842105,0.34285714285714286,19,Western
tfidf_lr,first_25,42,53,0.5052631578947369,0.44036697247706424,0.47058823529411764,327,Thriller
tfidf_lr,first_25,42,80,0.5179856115107914,0.3829787234042553,0.44036697247706424,188,Crime
tfidf_lr,first_25,42,878,0.6,0.40816326530612246,0.48582995951417,147,Science Fiction
tfidf_lr,first_25,42,9648,0.2692307692307692,0.1826086956521739,0.21761658031088082,115,Mystery
tfidf_lr,first_25,42,10402,0.36363636363636365,0.3333333333333333,0.34782608695652173,36,Music
tfidf_lr,first_25,42,10749,0.4106280193236715,0.4106280193236715,0.4106280193236715,207,Romance
tfidf_lr,first_25,42,10751,0.453781512605042,0.39416058394160586,0.421875,137,Family
tfidf_lr,first_25,42,10752,0.4666666666666667,0.4883720930232558,0.4772727272727273,43,War
tfidf_lr,first_25,42,10770,0.2,0.07142857142857142,0.10526315789473684,14,TV Movie
tfidf_lr,first_50,42,12,0.5161290322580645,0.4873096446700508,0.5013054830287206,197,Adventure
tfidf_lr,first_50,42,14,0.4426229508196721,0.391304347826087,0.4153846153846154,138,Fantasy
tfidf_lr,first_50,42,16,0.5145631067961165,0.4690265486725664,0.49074074074074076,113,Animation
tfidf_lr,first_50,42,18,0.6161290322580645,0.7087198515769945,0.6591889559965487,539,Drama
tfidf_lr,first_50,42,27,0.5506329113924051,0.5058139534883721,0.5272727272727272,172,Horror
tfidf_lr,first_50,42,28,0.6060606060606061,0.5818181818181818,0.5936920222634509,275,Action
tfidf_lr,first_50,42,35,0.5687885010266941,0.6338672768878718,0.5995670995670995,437,Comedy
tfidf_lr,first_50,42,36,0.2911392405063291,0.39655172413793105,0.3357664233576642,58,History
